,,,sum_sq,df,F,PR(>F)
Total_Amt_Chng_Q4_Q1,Education_Level,Residual,486.3218925607703,10120.0,,
Total_Amt_Chng_Q4_Q1,Marital_Status,Marital_Status,1.3711238245093984,3.0,9.535519408862564,2.760389493775245e-06
Total_Amt_Chng_Q4_Q1,Marital_Status,Residual,485.19945550836326,10123.0,,
Total_Amt_Chng_Q4_Q1,Income_Category,Income_Category,0.5490121482771828,5.0,2.286545424270417,0.04352474929234404
Total_Amt_Chng_Q4_Q1,Income_Category,Residual,486.02156718459537,10121.0,,
Total_Amt_Chng_Q4_Q1,Card_Category,Card_Category,0.030968878960266417,3.0,0.2147807050572937,0.8862077454323777
Total_Amt_Chng_Q4_Q1,Card_Category,Residual,486.53961045391225,10123.0,,
Total_Trans_Amt,Attrition_Flag,Attrition_Flag,3321764713.1987286,1.0,296.22771440130424,1.8574386556354345e-65
Total_Trans_Amt,Attrition_Flag,Residual,113537208323.37167,10125.0,,
Total_Trans_Amt,Gender,Gender,72395998.70316795,1.0,6.276487465095433,0.01225061328185082
Total_Trans_Amt,Gender,Residual,116786577037.86719,10125.0,,
Total_Trans_Amt,Education_Level,Education_Level,59374548.65171635,6.0,0.8574093862967082,0.5254604053875969
Total_Trans_Amt,Education_Level,Residual,116799598487.91864,10120.0,,
Total_Trans_Amt,Marital_Status,Marital_Status,478872062.48498905,3.0,13.884452318914827,4.950218948804446e-09
Total_Trans_Amt,Marital_Status,Residual,116380100974.08536,10123.0,,
Total_Trans_Amt,Income_Category,Income_Category,46436416.833252095,5.0,0.8046789982813098,0.5460817804313562
Total_Trans_Amt,Income_Category,Residual,116812536619.7371,10121.0,,
Total_Trans_Amt,Card_Category,Card_Category,4625878745.758538,3.0,139.07891381240398,2.6303100367112687e-88
Total_Trans_Amt,Card_Category,Residual,112233094290.81181,10123.0,,
Total_Trans_Ct,Attrition_Flag,Attrition_Flag,769572.1479062604,1.0,1620.1216921748573,0.0
Total_Trans_Ct,Attrition_Flag,Residual,4809464.6440360835,10125.0,,
Total_Trans_Ct,Gender,Gender,25384.512840749514,1.0,46.2791294081823,1.0834678108972946e-11
Total_Trans_Ct,Gender,Residual,5553652.279101585,10125.0,,
Total_Trans_Ct,Education_Level,Education_Level,942.2705158464969,6.0,0.2849174147114776,0.94437011900058
Total_Trans_Ct,Education_Level,Residual,5578094.521426487,10120.0,,
Total_Trans_Ct,Marital_Status,Marital_Status,86241.2664064141,3.0,52.97972199969169,5.712804758492904e-34
Total_Trans_Ct,Marital_Status,Residual,5492795.525535917,10123.0,,
Total_Trans_Ct,Income_Category,Income_Category,19957.9872944516,5.0,7.267203668286163,8.362733053265064e-07
Total_Trans_Ct,Income_Category,Residual,5559078.80464788,10121.0,,
Total_Trans_Ct,Card_Category,Card_Category,102222.02539186233,3.0,62.980254469672296,2.4469153396001756e-40
Total_Trans_Ct,Card_Category,Residual,5476814.76655047,10123.0,,
Total_Ct_Chng_Q4_Q1,Attrition_Flag,Attrition_Flag,48.29072350326444,1.0,930.0784162252813,1.647724784661789e-195
Total_Ct_Chng_Q4_Q1,Attrition_Flag,Residual,525.7014537063741,10125.0,,
Total_Ct_Chng_Q4_Q1,Gender,Gender,0.019311905389891804,1.0,0.34066600338154945,0.5594580455552502
Total_Ct_Chng_Q4_Q1,Gender,Residual,573.9728653042478,10125.0,,
Total_Ct_Chng_Q4_Q1,Education_Level,Education_Level,0.31877531453150243,6.0,0.937236579908193,0.4667206125274732
Total_Ct_Chng_Q4_Q1,Education_Level,Residual,573.673401895106,10120.0,,
Total_Ct_Chng_Q4_Q1,Marital_Status,Marital_Status,0.16852801941352138,3.0,0.9910182585018846,0.39584335206743715
Total_Ct_Chng_Q4_Q1,Marital_Status,Residual,573.8236491902242,10123.0,,
Total_Ct_Chng_Q4_Q1,Income_Category,Income_Category,0.546187911801741,5.0,1.927982044870248,0.08620688017019698
Total_Ct_Chng_Q4_Q1,Income_Category,Residual,573.4459892978359,10121.0,,
Total_Ct_Chng_Q4_Q1,Card_Category,Card_Category,0.052838864252019745,3.0,0.31065293669375604,0.8177086016373402
Total_Ct_Chng_Q4_Q1,Card_Category,Residual,573.9393383453855,10123.0,,
Avg_Utilization_Ratio,Attrition_Flag,Attrition_Flag,24.497658683553137,1.0,332.8767952985744,3.357689328201913e-73
Avg_Utilization_Ratio,Attrition_Flag,Residual,745.1369325653857,10125.0,,
Avg_Utilization_Ratio,Gender,Gender,51.17073507952408,1.0,721.1270104003835,1.6653873266231785e-153
Avg_Utilization_Ratio,Gender,Residual,718.463856169415,10125.0,,
Avg_Utilization_Ratio,Education_Level,Education_Level,0.267856503894837,6.0,0.5872162340356532,0.7408564893266478
Avg_Utilization_Ratio,Education_Level,Residual,769.3667347450436,10120.0,,
Avg_Utilization_Ratio,Marital_Status,Marital_Status,1.9687394301008663,3.0,8.653743120001065,9.868183791438294e-06
Avg_Utilization_Ratio,Marital_Status,Residual,767.6658518188376,10123.0,,
Avg_Utilization_Ratio,Income_Category,Income_Category,86.27760572463627,5.0,255.56646556238053,5.006294975677034e-258
Avg_Utilization_Ratio,Income_Category,Residual,683.3569855243022,10121.0,,
Avg_Utilization_Ratio,Card_Category,Card_Category,35.25192455438136,3.0,161.9751520326596,1.4889803144862401e-102
Avg_Utilization_Ratio,Card_Category,Residual,734.382666694557,10123.0,,
